Instance,Nombre de projets (N),Nombre de ressources (M),Profit optimal,[Greedy] Profit,[Repair] Profit,[Hill Climbing] Profit,Écart [Greedy],Écart [Repair],Écart [Hill Climbing]
1,100,5,24381.0,22502.0,45538.0,23919.0,0.07706820885115459,0.8677658832697592,0.018949181739879414
2,100,5,24274.0,23159.0,31395.0,24106.0,0.04593392106780918,0.293359149707506,0.006920985416495015
3,100,5,23551.0,22584.0,37871.0,23361.0,0.04105982760816951,0.608042121353658,0.008067597978854401
4,100,5,23534.0,19627.0,41532.0,23104.0,0.1660151270502252,0.7647658706552223,0.018271437069771395
5,100,5,23991.0,22026.0,42960.0,23592.0,0.08190571464299112,0.7906715018131799,0.016631236713767664
6,100,5,24613.0,24042.0,35757.0,24529.0,0.023199122414983953,0.45276886198350463,0.0034128306179661153
7,100,5,25591.0,24459.0,33288.0,25099.0,0.044234301121488025,0.3007698018834747,0.01922550896799656
8,100,5,23410.0,22554.0,30756.0,23244.0,0.03656557026911576,0.31379752242631354,0.007090986757795814
9,100,5,24216.0,22737.0,42826.0,23780.0,0.061075322101090186,0.7685001651800463,0.018004625041295012
10,100,5,24411.0,23445.0,37467.0,24271.0,0.03957232395231658,0.5348408504362787,0.005735119413379214
11,100,5,42757.0,42231.0,39423.0,42608.0,0.012302079191711298,0.07797553616951611,0.0034848095048763943
1,100,5,24381.0,22502.0,20327.0,23919.0,23884.0,0.07706820885115459,0.16627701899019728,0.018949181739879414,0.0203847258110824,0.007546186447143555,0.00327301025390625,11.337416887283325,71.44852089881897
2,100,5,24274.0,23159.0,23159.0,24106.0,23856.0,0.04593392106780918,0.04593392106780918,0.006920985416495015,0.017220070857707836,0.005531787872314453,0.002583026885986328,7.884514093399048,60.822628021240234
3,100,5,23551.0,22584.0,21156.0,23361.0,23438.0,0.04105982760816951,0.10169419557555942,0.008067597978854401,0.00479809774531867,0.0054628849029541016,0.0026290416717529297,7.035711050033569,70.12797403335571
4,100,5,23534.0,19627.0,17379.0,23104.0,23059.0,0.1660151270502252,0.26153650038242543,0.018271437069771395,0.02018356420498003,0.004501819610595703,0.003464937210083008,23.995137929916382,65.0987069606781
5,100,5,23991.0,22026.0,20932.0,23592.0,23635.0,0.08190571464299112,0.12750614813888542,0.016631236713767664,0.014838897920053353,0.002337932586669922,0.002092123031616211,14.500195026397705,63.55083394050598
6,100,5,24613.0,24042.0,24042.0,24529.0,24478.0,0.023199122414983953,0.023199122414983953,0.0034128306179661153,0.005484906350302686,0.0024209022521972656,0.001605987548828125,6.695819854736328,66.77051019668579
7,100,5,25591.0,24459.0,22827.0,25099.0,25202.0,0.044234301121488025,0.10800672111289125,0.01922550896799656,0.01520065648079403,0.006295204162597656,0.002035856246948242,7.127638101577759,62.74177289009094
8,100,5,23410.0,22554.0,21949.0,23244.0,23161.0,0.03656557026911576,0.06240922682614267,0.007090986757795814,0.01063648013669372,0.006062030792236328,0.0060007572174072266,11.03666377067566,60.274495363235474
