Instance;Number of projects (N);Number of resources (M);Optimal profit;[Greedy] Profit;[Repair] Profit;[Hill Climbing] Profit;[VNS + Hill Climbing] Profit;[SA] Profit;Deviation [Greedy];Deviation [Repair];Deviation [Hill Climbing];Deviation [VNS + Hill Climbing];Deviation [SA];Time [Greedy];Time [Repair];Time [Hill Climbing];Time [VNS + Hill Climbing];Time [SA]
1;500;5;120130.0;119796.0;119459.0;0.0027803213185715473;0.005585615583118288;11799.588880777359;959.1451098918915;;0,0027803213185715473;0,005585615583118288;11799,588880777359;959,1451098918915;;;;
2;500;5;117837.0;117025.0;113741.0;0.00689087468282458;0.03475988017345995;12396.143845796585;958.8455550670624;;0,00689087468282458;0,03475988017345995;12396,143845796585;958,8455550670624;;;;
1;500;5;120130.0;119952.0;119608.0;0.0014817281278614834;0.004345292599683676;60.645710706710815;300.875284910202;;0,0014817281278614834;0,004345292599683676;60,645710706710815;300,875284910202;;;;
2;500;5;117837.0;117248.0;113741.0;0.004998430034708962;0.03475988017345995;61.45768904685974;305.2749228477478;;0,004998430034708962;0,03475988017345995;61,45768904685974;305,2749228477478;;;;
3;500;5;121109.0;120305.0;119315.0;0.006638647829641067;0.01481310224673641;61.42832612991333;305.23467683792114;;0,006638647829641067;0,01481310224673641;61,42832612991333;305,23467683792114;;;;
4;500;5;120798.0;120373.0;118543.0;0.0035182701700359276;0.01866752760807298;60.13509821891785;300.27797293663025;;0,0035182701700359276;0,01866752760807298;60,13509821891785;300,27797293663025;;;;
5;500;5;122319.0;121279.0;118861.0;0.008502358586973405;0.028270342301686572;61.37975811958313;576.4866628646851;;0,008502358586973405;0,028270342301686572;61,37975811958313;576,4866628646851;;;;
6;500;5;122007.0;121113.0;120274.0;0.007327448425090363;0.01420410304326801;61.920313119888306;303.7097771167755;;0,007327448425090363;0,01420410304326801;61,920313119888306;303,7097771167755;;;;
7;500;5;119113.0;118245.0;116960.0;0.007287197870929286;0.018075273060035427;61.71391296386719;303.0742630958557;;0,007287197870929286;0,018075273060035427;61,71391296386719;303,0742630958557;;;;
8;500;5;120568.0;119976.0;118534.0;0.0049100922301108085;0.01687014796629288;61.61061406135559;305.0486810207367;;0,0049100922301108085;0,01687014796629288;61,61061406135559;305,0486810207367;;;;
9;500;5;121575.0;120562.0;117684.0;0.00833230516142299;0.032004935225169645;61.35057210922241;301.9612159729004;;0,00833230516142299;0,032004935225169645;61,35057210922241;301,9612159729004;;;;
10;500;5;120699.0;119792.0;118249.0;0.00751456101541852;0.020298428321692805;61.33436608314514;303.96979093551636;;0,00751456101541852;0,020298428321692805;61,33436608314514;303,96979093551636;;;;
