Instance,Nombre de projets (N),Nombre de ressources (M),Profit optimal,[Greedy] Profit,[Repair] Profit,[Hill Climbing] Profit,Écart [Greedy],Écart [Repair],Écart [Hill Climbing]
1,6,10,3800.0,3800.0,2400.0,3800.0,0.0,0.3684210526315789,0.0
2,10,10,8706.1,8336.9,6928.2,8336.9,0.04240704793190989,0.20421313791479542,4.870958056065275e-06
3,15,10,4015.0,3825.0,3025.0,4015.0,0.047322540473225407,0.2465753424657534,0.0
4,20,10,6120.0,6010.0,5230.0,6120.0,0.017973856209150325,0.1454248366013072,0.0
5,28,10,12400.0,12400.0,2700.0,12400.0,0.0,0.782258064516129,0.0
6,39,5,10618.0,9888.0,8807.0,10520.0,0.06875117724618572,0.17055942738745528,8.69241862503606e-07
7,50,5,16537.0,15832.0,10301.0,16440.0,0.04263167442704239,0.37709378968373947,3.5469762577732307e-07
